AKIMOV	11.4223069648857	81	104	0	0	0	3	2	0	36	0	1	133
QGAR	4.887786003783247	33	30	168	58	5915	306	0	4	1	0	145	157
nvl	9.69297143484066	10	4	0	0	0	0	1	0	1	0	34	240
jORI	9.290560865264846	235	559	79	2	8910	425	0	0	0	0	32	1107
kristou	5.558602304908413	11	6	41	56	8588	1	0	0	0	0	59	304
brieF	9.900440004228033	53	39	174	0	0	10	0	0	0	0	15	324
ted kaczynski fan	5.690491106346748	13	7	68	45	5514	32	0	0	0	0	30	166
M n m =)	3.89555740786729	4	4	0	0	0	1	0	0	0	0	11	118
Ex Global WTS boost 420£	9.40835760558939	7	3	0	0	0	1	0	0	0	0	2	69
Ediii	4.265444178318981	5	3	0	0	0	5	0	0	1	0	5	44
pingo =)	5.353646069902846	4	3	0	0	0	21	0	0	0	0	5	179
Joker	3.7124743740363115	3	3	22	25	1369	1	0	0	0	0	2	51
LioNe	5.335852530802827	4	3	0	0	0	0	0	0	0	0	4	0
𝓚𝓪𝓻𝓭𝓪𝓷𝓪𝓼	4.476699824377698	12	7	0	0	0	144	1	0	1	0	17	173
Ponas	6.141638622701319	10	8	0	0	0	18	0	1	2	0	4	51
w0lf	2.0386956268218657	18	11	11	0	1456	6	0	0	1	0	9	94
Harlem Spartans	2.6717517077496353	13	10	28	93	3623	6	9	0	1	0	5	202
nightstrix	4.663094297735893	24	26	0	0	0	38	1	1	0	0	23	76
SeanHoca	3.242862364696064	36	32	364	29	2908	32	0	0	2	0	27	102
(:(: SorryForDeadYou :) :)	4.54458196260689	5	4	0	0	0	0	0	0	0	0	3	40
...........	4.30165349610469	4	3	0	0	0	0	0	0	0	0	14	149
b00s	1.923148771733552	1	2	0	0	0	0	0	0	0	0	25	152
MelluN	1.8102775887686366	3	4	0	0	0	1	0	0	0	0	1	8
smurf	1.7828828908019507	2	3	0	0	0	0	0	0	0	0	0	14
KazahstanCheats.KZ	3.2846285810716287	4	3	0	0	0	12	0	0	1	0	8	38
smurf	1.782883084337302	2	3	0	0	0	0	0	0	0	0	0	14
Рейвер	2.695529725482641	4	4	0	0	0	1	0	0	1	0	2	78
Wildfowl	2.1038589628329594	2	2	0	0	0	0	0	0	0	0	0	4
a1d	4.185875615602305	6	5	0	0	0	0	0	0	0	0	1	34
peRRRy___	4.155581701345753	7	5	0	0	0	0	0	0	0	0	0	28
Shikamaru	6.282948761326855	23	20	0	0	0	2226	0	0	3	0	14	72
AnnPad	3.6572729154410153	0	0	0	0	0	0	0	0	0	0	0	1
Shikamaru	6.282948929848843	23	20	0	0	0	2226	0	0	3	0	14	72
TheNeidmelGames	3.6581027845264935	4	3	0	0	0	8	0	0	0	0	13	65
Slowchpoke	6.627083432426562	12	9	303	28	2275	29	0	1	0	0	17	119
LoL KeK:)	2.51497393242605	0	1	0	0	0	0	0	0	0	0	3	10
Slowchpoke	6.627083607689393	12	9	303	28	2275	29	0	1	0	0	17	119
ikar	2.055219579390875	2	2	0	0	0	0	0	0	0	0	0	9
Slowchpoke	6.6270837546263115	12	9	303	28	2275	29	0	1	0	0	17	119
Bloody	5.863708250008747	37	26	0	0	0	199	1	0	2	0	24	175
Love me	4.553564612441441	6	4	0	0	0	5	0	0	0	0	6	113
Dolaner	6.411022027344079	10	7	0	0	0	120	0	0	3	0	2	79
Рассадник куличей	3.3371437085154603	0	1	0	0	0	0	0	0	0	0	0	10
GoldenJaguar	4.167511102637124	5	4	0	0	0	1	0	0	0	0	0	50
Рассадник куличей	3.3371438397812643	0	1	0	0	0	0	0	0	0	0	0	10
Багровый Погром	3.671378673961075	4	3	0	0	0	25	0	0	0	0	2	34
dreary bell	11.968172146426994	15	6	0	0	0	30	1	0	1	0	17	91
DOBBY	5.479067797268642	6	4	0	0	0	9	0	0	0	0	4	39
темнокожий американец	12.254853798058518	25	22	84	0	2554	49	0	0	1	0	5	90
Кон Чен Ый	4.901553797659975	19	10	0	0	0	51	0	0	1	0	4	46
ЙЦУК	4.144595024551869	13	9	32	0	2000	1	0	0	2	0	0	26
Albrecht	5.076792301242634	33	30	0	0	0	4	0	0	4	0	2	24
-=Neytron=-	3.7426326347596897	17	10	80	0	1199	67	0	0	1	0	14	36
Arlechino	2.9367311963460607	5	6	0	0	0	1	0	0	0	0	0	16
-=Neytron=-	3.7426327920790663	17	10	80	0	1199	67	0	0	1	0	14	36
_ArIgAtO_	2.4833770932145054	53	38	0	0	0	0	0	2	0	0	6	11
Чумной POOTIS	2.013821949897881	3	3	0	0	0	1	0	0	0	0	8	18
Life4five	1.2597438157344607	10	6	28	0	254	6	0	0	1	0	4	46
Zeroxll (magicdrop.ru!)	1.3557947862830895	4	4	39	4	716	1	0	0	3	0	8	17
Velial	3.8329197606863796	8	5	74	0	1869	3	0	0	0	0	3	71
popa kita	0.40765080473802223	7	6	0	0	0	0	0	0	0	0	1	21
Lavis	3.569624366104361	40	33	0	0	0	159	0	0	2	0	3	54
BLUES_O53OO	4.103937820070055	7	4	0	0	0	0	1	0	2	0	0	57
Lavis	3.569624504247386	40	33	0	0	0	159	0	0	2	0	3	54
Himik {exp}	2.3560724876704615	18	17	55	18	2223	74	0	1	2	0	12	87
KENT	2.0441728008371483	10	7	0	0	0	0	0	0	0	0	0	89
One-tap XD	2.1653115757574573	3	3	0	0	0	1	0	0	0	0	11	46
Twitch.tv batiasolosafik	2.11788901198903	3	3	35	1	1455	21	0	0	0	0	0	71
☆Lildice☆	3.731156020228464	12	5	0	0	0	9	2	0	1	0	3	65
Baguette Fromage	3.325464066891736	3	3	0	0	0	0	0	0	0	0	0	19
Springles♞	7.210310403877537	19	16	0	0	0	19	0	0	2	0	38	103
Famous.	4.112427560043533	5	4	0	0	0	0	0	0	0	0	2	42
Latgaļis Džeks	6.207590166566011	31	25	43	0	0	5	0	0	1	0	14	81
RE4KT1VEE	9.466359724950513	10	7	80	2	2488	23	0	0	4	0	42	59
ム v0rtex csgoatse.com	3.8655903607171047	15	13	20	23	1167	0	0	0	2	0	18	62
xrou	2.2905522441900223	11	5	0	0	0	0	0	0	0	0	0	24
FuryNik	2.4558384186667817	13	8	24	59	2441	22	0	0	1	0	12	115
Kent 8 "UKRAINE"	3.16961725049176	10	5	0	0	0	1	0	0	1	0	5	174
❤ 译市儿 ❤	2.4437241571720696	3	3	0	0	0	5	0	0	0	0	1	30
просто энот	2.7749430571912677	4	3	8	0	1317	0	0	0	1	0	33	86
Valeron4ik	3.159260216480475	5	4	0	0	0	0	0	0	0	0	11	0
Ищу сеть Dota 2...	3.2845257219893034	5	4	0	0	0	24	0	0	0	0	4	0
Игнат228	3.701274557750572	43	30	74	48	1654	58	0	0	2	0	6	169
Лебовски	3.51813114195805	12	8	0	0	0	187	0	1	3	0	3	39
Честер	6.060161381935496	5	3	0	0	0	14	0	0	0	0	3	198
Megan Fox <3	5.947859158196293	3	2	0	0	0	0	0	0	0	0	0	31
stranger	6.352444880925554	4	2	0	0	0	2	0	0	0	0	2	18
imbalancing.	5.819519739140281	3	2	0	0	0	0	0	0	0	0	0	9
馬鹿野郎	6.748105968855598	12	8	0	0	0	5	2	0	1	0	7	118
zevladnit可爱|Панда日本	5.95300609874996	26	28	0	0	0	166	1	0	6	0	216	42
Cat (Miaow)	5.510136954883326	51	68	0	0	0	1588	0	0	3	0	24	69
Tony Lobs(#MADHATTER)	6.104101895325638	20	13	0	0	0	613	0	0	3	0	3	17
Starina	6.215976782960714	13	8	0	0	0	42	0	1	2	0	0	26
Vlad[ed]	5.033080841287229	5	3	0	0	0	1	0	0	3	0	2	42
☻	6.424467293732318	12	7	0	0	0	8	0	0	0	0	1	27
Only4fun2right	7.115309254565861	8	3	0	0	0	3	0	0	1	0	2	29
Marlboro_22RUS	5.894166744357149	28	25	0	0	0	396	0	0	7	0	8	204
ДЕНИС 163 ТОЛЬЯТТИ	5.198237433077039	11	7	0	0	0	100	0	0	2	0	4	107
Santila 34	3.250849946994533	4	4	0	0	0	20	0	0	0	0	5	58
Miha	3.405511544981806	0	0	0	0	0	0	0	0	0	0	9	4
Parzival_one	5.055337795811338	6	4	0	0	0	1	0	0	1	0	4	13
-B	0.7781161990648354	20	9	11	25	373	0	1	0	1	0	7	39
💜	3.3157383946201358	4	4	0	0	0	1	0	0	0	0	28	121
alekele	2.151036291621342	1	2	0	0	0	0	0	0	0	0	1	38
s1meJ	2.7953356054041936	3	3	0	0	0	53	0	0	0	0	12	206
Prime	2.8404611366920243	10	5	11	1	253	0	0	0	0	0	3	62
DingDong	6.305918123436421	4	2	0	0	0	0	0	0	0	0	0	76
Dagfait	11.533680782792464	10	5	0	0	0	0	0	5	0	0	0	38
Mario bot	5.737249751783018	6	3	0	0	0	0	0	0	0	0	1	41
Zimbar	8.298141314166624	7	3	48	9	808	0	0	0	0	0	0	9
Pablo Bot	6.829803234765519	8	4	0	0	0	12	0	1	0	0	6	43
Weed bae	10.920914455778302	26	32	0	0	0	91	0	0	1	0	20	40
Tcháli	3.446680113273691	0	0	0	0	0	0	0	0	0	0	0	2
beatriz	5.758470119663774	5	3	0	0	0	634	0	0	0	0	4	13
BrazoN	7.650781571890189	27	26	0	0	0	33	3	0	1	0	3	53
Mad	5.307642613234979	48	87	1146	15	6458	558	1	0	29	0	309	308
Nic333	6.379960619159569	27	23	1474	2978	256923	774	5	1	8	0	64	191
Zaur	6.88938954764179	42	70	0	0	0	631	0	0	40	0	25	286
Bluefox	6.490292316596643	14	12	0	0	0	3846	0	0	11	0	40	107
dJ Le menis	7.7832509442149975	33	40	0	0	0	123	0	0	7	0	43	407
The Villain	5.898219726099612	13	10	0	0	0	0	0	0	3	0	6	14
lukss2013	6.100098630410571	4	2	0	0	0	0	0	0	0	0	0	1
The Villain	5.8982198724188235	13	10	0	0	0	0	0	0	3	0	6	14
twitch.tv/spankeer	8.429939654020966	8	4	0	0	0	1	0	0	0	0	15	269
BzN~	4.906405460724086	2	2	0	0	0	0	0	0	0	0	0	45
Salzinhu	6.5529472813665075	3	2	0	0	0	0	0	0	0	0	0	35
Asphyxia	7.006452704518942	5	2	0	0	0	0	0	0	0	0	0	66
x1ong	4.9702818547400165	14	10	0	0	0	194	0	0	2	0	2	55
Omae Wa Mou Shindeiru	2.781810426511124	3	3	0	0	0	0	0	0	0	0	4	133
Minlo7	1.2829190084430349	2	3	0	0	0	0	0	0	0	0	0	218
GMinAS#6	0.24577527345160521	0	1	0	0	0	0	0	0	0	0	1	39
